HD 0103      2016-03-27
D000014901 Evergreen      Dearborn            MI48126999802
A00006123 Main Street     Westland            MI48185001511 
I000000010 0000010000 0000004000 0000001000
I000000123 0004500000 0000003000 0000004000
I000000011 0002300000 0000002000 0000003000
I000000012 0002300000 0000002000 0000033000
I000000013 0002300000 0000002000 0000043000
I000000014 0002300000 0000002000 0000002000
I000000015 0002300000 0000002000 0000000100
I000000016 0002300000 0000002000 0000002000
I000000017 0002300000 0000002000 0000003000
I000000018 0002300000 0000002000 0000215000
I000000019 0002300000 0000002000 0000003000
I000000020 0002300000 0000002000 0000003000
I000000021 0002300000 0000002000 0000003000
I000000022 0002300000 0000002000 0000003000
I000000023 0002300000 0000002000 0000003000
I000000024 0002300000 0000002000 0000003000
I000000025 0002300000 0000002000 0000003000
I000000026 0002300000 0000002000 0000003000
I000000027 0002300000 0000002000 0000003000
I000000028 0002300000 0000002000 0000003000
I000000029 0002300000 0000002000 0000003000
I000000030 0002300000 0000002000 0000003000
I000000031 0002300000 0000002000 0000003000
I000000032 0002300000 0000002000 0000003000
I000000033 0002300000 0000002000 0000003000
I000000034 0002300000 0000002000 0000003000
I000000035 0002300000 0000002000 0000003000
I000000036 0002300000 0000002000 0000003000
I000000037 0002300000 0000002000 0000003000
I000000038 0002300000 0000002000 0000003000
I000000039 0002300000 0000002000 0000003000
I000000040 0002300000 0000002000 0000003000
I000000041 0002300000 0000002000 0000003000
I000000042 0002300000 0000002000 0000003000
I000000043 0002300000 0000002000 0000003000
I000000044 0002300000 0000002000 0000003000
I000000045 0002300000 0000002000 0000003000
I000000046 0002300000 0000002000 0000003000
I000000047 0002300000 0000002000 0000003000
I000000048 0002300000 0000002000 0000003000
C 0040
T 0042
